historical_PC,harmonized_PC,correlation,abs_correlation
Dim.1,Dim.1,0.679277494262847,0.679277494262847
Dim.2,Dim.1,0.7331238994873588,0.7331238994873588
Dim.3,Dim.1,-0.00125187043177619,0.00125187043177619
Dim.4,Dim.1,3.0516323366320404e-6,3.0516323366320404e-6
Dim.5,Dim.1,-0.01203295407583756,0.01203295407583756
Dim.6,Dim.1,0.01062965633535453,0.01062965633535453
Dim.7,Dim.1,0.02025649524843803,0.02025649524843803
Dim.1,Dim.2,0.7275792561931456,0.7275792561931456
Dim.2,Dim.2,-0.6738595517135091,0.6738595517135091
Dim.3,Dim.2,0.11423067478653924,0.11423067478653924
Dim.4,Dim.2,0.04042205891770976,0.04042205891770976
Dim.5,Dim.2,-0.00858396858440057,0.00858396858440057
Dim.6,Dim.2,-0.00588795504990792,0.00588795504990792
Dim.7,Dim.2,-0.00778700661632694,0.00778700661632694
Dim.1,Dim.3,-0.07787687009627155,0.07787687009627155
Dim.2,Dim.3,0.07420777919348556,0.07420777919348556
Dim.3,Dim.3,0.987035050321342,0.987035050321342
Dim.4,Dim.3,-0.10534890691929095,0.10534890691929095
Dim.5,Dim.3,0.00911574375405399,0.00911574375405399
Dim.6,Dim.3,2.111716763921896e-4,2.111716763921896e-4
Dim.7,Dim.3,-0.01653136038774466,0.01653136038774466
Dim.1,Dim.4,-0.03597278608831925,0.03597278608831925
Dim.2,Dim.4,0.03236998940098454,0.03236998940098454
Dim.3,Dim.4,0.09309404254240364,0.09309404254240364
Dim.4,Dim.4,0.9771141388241052,0.9771141388241052
Dim.5,Dim.4,-0.10471849754098832,0.10471849754098832
Dim.6,Dim.4,0.0394503023873361,0.0394503023873361
Dim.7,Dim.4,-0.09714991070165165,0.09714991070165165
Dim.1,Dim.5,-0.00981399898530317,0.00981399898530317
Dim.2,Dim.5,-0.0079567033381645,0.0079567033381645
Dim.3,Dim.5,-0.00438399429469095,0.00438399429469095
Dim.4,Dim.5,-0.10428830968655162,0.10428830968655162
Dim.5,Dim.5,-0.9898698839249988,0.9898698839249988
Dim.6,Dim.5,-0.0295791155506537,0.0295791155506537
Dim.7,Dim.5,0.04434461875427407,0.04434461875427407
Dim.1,Dim.6,3.639204186461661e-4,3.639204186461661e-4
Dim.2,Dim.6,-0.00585024102598481,0.00585024102598481
Dim.3,Dim.6,-0.00861533106687268,0.00861533106687268
Dim.4,Dim.6,-0.05762566869870595,0.05762566869870595
Dim.5,Dim.6,-0.02727838727416078,0.02727838727416078
Dim.6,Dim.6,0.948120197647336,0.948120197647336
Dim.7,Dim.6,-0.2613092801704953,0.2613092801704953
Dim.1,Dim.7,-0.00408275022352896,0.00408275022352896
Dim.2,Dim.7,-0.01489051152684799,0.01489051152684799
Dim.3,Dim.7,0.00945049403945594,0.00945049403945594
Dim.4,Dim.7,0.07582854864268648,0.07582854864268648
Dim.5,Dim.7,0.06203596719325822,0.06203596719325822
Dim.6,Dim.7,0.13901661308694888,0.13901661308694888
Dim.7,Dim.7,0.7960258430895593,0.7960258430895593
