PC,eigenvalue,variance_percent,cumulative_percent
1,41.28244493946123,48.27634402988308,48.27634402988308
2,27.680843698458684,32.37041641753238,80.64676044741546
3,7.384084366720014,8.635065044141959,89.28182549155741
4,5.464740777781041,6.390554295152932,95.67237978671035
5,1.6274155662044083,1.903125502108314,97.57550528881866
6,0.7324039334589577,0.8564847433904356,98.4319900322091
7,0.6197259663400432,0.7247173465417845,99.15670737875088
8,0.21128842387898436,0.24708402459378978,99.40379140334467
9,0.16774986417552754,0.19616934427647822,99.59996074762115
10,0.12147347344697966,0.14205300105725258,99.7420137486784
11,0.09777810428500044,0.11434326159641627,99.85635701027482
12,0.04343090847117203,0.050788791263680126,99.9071458015385
13,0.02434296894088799,0.02846705288464449,99.93561285442316
14,0.019598423348541495,0.022918706229850306,99.958531560653
15,0.009427152819494007,0.011024261605715702,99.96955582225871
16,0.008286749050909276,0.009690655402257877,99.97924647766096
17,0.007513819495155914,0.008786779355208494,99.98803325701617
18,0.0029106616359103822,0.003403773751672222,99.99143703076784
19,0.0021184030813404743,0.002477294067701888,99.99391432483554
20,0.0015905515306144497,0.0018600161158527158,99.9957743409514
21,0.0012421827210718872,0.0014526281202187283,99.99722696907162
22,0.0010246726680675766,0.0011982684241253205,99.99842523749574
23,8.698211836102261e-4,0.0010171826490903424,99.99944242014483
24,4.7680204726336403e-4,5.575798551077566e-4,99.99999999999994
