PC,domain,lower,upper,n_points,mean_loading,median_loading,min_loading,max_loading,max_abs_loading,prop_positive,prop_negative,direction_class
PC2,D1,876,1127,130,-0.20176521591071478,-0.20488289135859855,-0.37172533886354814,-0.003469636304502234,-0.37172533886354814,0,1,predominantly negative
PC4,D1,876,1127,130,-0.029117179912346546,-0.02376703510943191,-0.16461440090114685,0.05391277370289862,-0.16461440090114685,0.4153846153846154,0.5846153846153846,mixed
PC5,D1,876,1127,130,0.0041748819982580405,0.02858604549919652,-0.10822089993747545,0.08779383918600951,-0.10822089993747545,0.6307692307692307,0.36923076923076925,mixed
PC2,D2,1150,1313,84,-0.11203118474787403,-0.10493204491756017,-0.22660367142882082,-0.030241863053188843,-0.22660367142882082,0,1,predominantly negative
PC4,D2,1150,1313,84,0.054548974495933385,0.055535573979011654,0.02643640863300989,0.07443699228949249,0.07443699228949249,1,0,predominantly positive
PC5,D2,1150,1313,84,-0.041958407174113914,-0.034136192211142884,-0.10285976126925685,0.02473795293036812,-0.10285976126925685,0.16666666666666666,0.8333333333333334,predominantly negative
PC2,D3,1382,1413,16,-0.2296175322982601,-0.2322575618531066,-0.2547634712954521,-0.18890474948586944,-0.2547634712954521,0,1,predominantly negative
PC4,D3,1382,1413,16,0.03470402043162924,0.03604809128106451,0.013298833054480343,0.054650402662214284,0.054650402662214284,1,0,predominantly positive
PC5,D3,1382,1413,16,-0.04060756234973975,-0.04357956513869255,-0.062100405116777085,0.0032401808096881716,-0.062100405116777085,0.0625,0.9375,predominantly negative
PC2,D4,1477,1706,119,-0.46017062354455246,-0.4455190211121696,-0.9225320316238415,0.0581574781915594,-0.9225320316238415,0.01680672268907563,0.9831932773109243,predominantly negative
PC4,D4,1477,1706,119,0.013434112091510589,0.015380596073758046,-0.08036705969765832,0.1005748047811221,0.1005748047811221,0.5798319327731093,0.42016806722689076,mixed
PC5,D4,1477,1706,119,0.008642073837497778,-0.02409961948718143,-0.08080330449782883,0.1926137469788459,0.1926137469788459,0.3025210084033613,0.6974789915966386,mixed
PC2,D5,2942,3092,78,0.3308630624257283,0.33488379317000544,0.26516599156334125,0.3725161985965586,0.3725161985965586,1,0,predominantly positive
PC4,D5,2942,3092,78,0.014320768959446905,0.015801228794891823,-0.022410461953775128,0.039335957173407196,0.039335957173407196,0.8461538461538461,0.15384615384615385,predominantly positive
PC5,D5,2942,3092,78,-0.03593548011529739,-0.052928237512361906,-0.05954281486223636,0.04145655229847471,-0.05954281486223636,0.16666666666666666,0.8333333333333334,predominantly negative
