factor,PC,category,n,mean_score,median_score
Age_factor,PC2,O,8,0.31343033991835156,-0.938655605647186
Age_factor,PC2,Y,10,-0.25074427193467824,-2.074897286918403
Anamnes_factor,PC2,M,1,-3.2287397162757516,-3.2287397162757516
Anamnes_factor,PC2,C,2,-3.924563465568885,-3.924563465568885
Anamnes_factor,PC2,H,11,0.7005883854636624,0.03534095317624868
Anamnes_factor,PC2,G,4,0.8428486018283166,1.307736224801237
Parodont,PC2,M,1,-4.9258703916750415,-4.9258703916750415
Parodont,PC2,H,11,0.07235732501270085,-2.923256539462729
Parodont,PC2,G,3,2.4699860189087075,1.0459453281683564
Parodont,PC2,L,3,-1.0933394133969192,-3.2287397162757516
caries_factor,PC2,F,1,-10.384661166244769,-10.384661166244769
caries_factor,PC2,M,4,1.5781835511606896,2.7784061234659845
caries_factor,PC2,C,11,1.7524136204566243,-2.923256539462729
caries_factor,PC2,H,2,-7.602311431710417,-7.602311431710417
Age_factor,PC4,O,8,-1.0869100431169494,-1.1595016774292404
Age_factor,PC4,Y,10,0.8695280344935498,0.4298051503475553
Anamnes_factor,PC4,M,1,1.5915224793833078,1.5915224793833078
Anamnes_factor,PC4,C,2,-0.2721148956923383,-0.2721148956923383
Anamnes_factor,PC4,H,11,0.5842788463118629,0.399554412845276
Anamnes_factor,PC4,G,4,-1.868589999357305,-1.8192413645173753
Parodont,PC4,M,1,-0.31630113685491895,-0.31630113685491895
Parodont,PC4,H,11,0.5708535855591881,0.399554412845276
Parodont,PC4,G,3,-1.5275067018542603,-1.2494591371279815
Parodont,PC4,L,3,-0.46018939957782173,-1.0695442177304992
caries_factor,PC4,F,1,5.301104658994334,5.301104658994334
caries_factor,PC4,M,4,-1.5762879116378932,-1.4860453390583863
caries_factor,PC4,C,11,0.01313060789654819,-0.31630113685491895
caries_factor,PC4,H,2,0.4298051503475553,0.4298051503475553
Age_factor,PC5,O,8,0.45485901075960194,0.560174165620671
Age_factor,PC5,Y,10,-0.36388720860768053,0.11238747395868304
Anamnes_factor,PC5,M,1,0.4620187594580438,0.4620187594580438
Anamnes_factor,PC5,C,2,1.6171831868308095,1.6171831868308095
Anamnes_factor,PC5,H,11,-0.323709815400886,0.20011079024733683
Anamnes_factor,PC5,G,4,-0.03389429092747634,-0.1719059743006368
Parodont,PC5,M,1,2.576036801878321,2.576036801878321
Parodont,PC5,H,11,-0.2802463925019956,0.20011079024733683
Parodont,PC5,G,3,-0.05452667623525698,-0.3684761062713029
Parodont,PC5,L,3,0.22341784811647067,0.4620187594580438
caries_factor,PC5,F,1,0.5594509097560906,0.5594509097560906
caries_factor,PC5,M,4,0.24025419369941703,0.3763909949531501
caries_factor,PC5,C,11,0.2807034219494274,0.4620187594580438
caries_factor,PC5,H,2,-2.3041026629987247,-2.3041026629987247
