removed_sample,ARI,cluster_sizes,baseline_cluster
24,0.13977107851039816,8/13/3,2
25,0.1668373672578298,8/13/3,3
3,0.36582964057114725,8/11/5,3
5,0.36582964057114725,8/11/5,3
18,0.4191538209248934,8/10/6,2
23,0.4400360685302074,8/10/6,1
16,0.4937351845580766,9/9/6,1
20,0.8766172294099084,16/2/6,2
1,1,14/4/6,1
10,1,14/4/6,1
11,1,14/4/6,1
12,1,14/4/6,1
13,1,14/4/6,1
14,1,14/4/6,1
15,1,14/4/6,1
17,1,14/4/6,1
19,1,15/4/5,3
2,1,14/4/6,1
21,1,15/4/5,3
22,1,14/4/6,1
4,1,14/4/6,1
6,1,14/4/6,1
7,1,15/4/5,3
8,1,14/4/6,1
9,1,15/3/6,2
