iteration,ARI,unique_participants,induced_cluster_sizes
1,0.4071146245059289,15,8/11/6
2,0.8784440842787682,16,16/6/3
3,0.8567921440261866,13,15/7/3
4,1,16,15/4/6
5,0.5805369127516778,17,19/1/5
6,0.20789327404113395,16,8/13/4
7,0.6182201158504476,15,3/18/4
8,0.7627024008933556,14,6/13/6
9,0.746125066809193,16,4/17/4
10,0.8754842280022136,13,5/6/14
11,0.8784440842787682,16,16/6/3
12,0.5048104131295982,15,9/10/6
13,0.5139968895800933,14,19/3/3
14,0.8784440842787682,16,16/3/6
15,0.8784440842787682,14,3/16/6
16,0.8567921440261866,17,15/3/7
17,0.8784440842787682,15,6/16/3
18,0.5048104131295982,18,10/9/6
19,0.8754842280022136,17,6/14/5
20,0.20789327404113395,16,8/13/4
21,0.6206174777603349,15,6/18/1
22,0.4482173174872665,15,6/9/10
23,0.5805369127516778,14,19/5/1
24,0.4071146245059289,14,11/8/6
25,0.5139968895800933,15,19/3/3
26,0.5048104131295982,14,10/6/9
27,0.746125066809193,18,4/17/4
28,0.20789327404113395,16,13/8/4
29,0.8784440842787682,15,6/16/3
30,1,17,6/4/15
31,0.8784440842787682,18,16/3/6
32,0.7397223705285638,15,3/17/5
33,0.8784440842787682,18,6/16/3
34,0.8784440842787682,17,16/6/3
35,0.699679658302189,15,3/17/5
36,0.2601898380792853,17,9/12/4
37,0.9383561643835616,17,5/15/5
38,0.8754842280022136,17,14/6/5
39,0.40142638818135506,15,2/20/3
40,0.8784440842787682,11,6/16/3
41,0.3816750983698707,16,6/12/7
42,0.3284834918858422,15,11/10/4
43,0.6757543673901535,14,17/7/1
44,0.4071146245059289,18,6/8/11
45,0.8754842280022136,16,14/5/6
46,1,17,15/4/6
47,0.8784440842787682,16,16/6/3
48,0.4482173174872665,16,10/6/9
49,0.5048104131295982,16,6/9/10
50,0.5139968895800933,16,19/3/3
51,0.20789327404113395,15,8/13/4
52,0.26511369938990564,18,10/12/3
53,0.5048104131295982,18,9/6/10
54,0.8784440842787682,17,6/16/3
55,0.5805369127516778,17,19/5/1
56,0.8784440842787682,15,16/3/6
57,0.5048104131295982,17,6/10/9
58,0.19154228855721392,15,13/9/3
59,0.8784440842787682,17,16/3/6
60,1,14,15/6/4
61,0.5720596355604638,16,14/7/4
62,0.4482173174872665,14,10/9/6
63,0.7703943814154511,17,6/16/3
64,0.2601898380792853,16,12/9/4
65,1,17,15/6/4
66,1,13,15/6/4
67,0.6757543673901535,13,7/1/17
68,0.3144935646334639,18,11/4/10
69,0.5048104131295982,18,9/10/6
70,0.4482173174872665,16,6/9/10
71,1,16,4/6/15
72,0.4071146245059289,16,6/11/8
73,0.5784964068546158,17,9/13/3
74,1,15,6/4/15
75,0.746125066809193,15,17/4/4
76,0.6757543673901535,16,17/1/7
77,0.6627318718381113,15,6/12/7
78,1,17,15/4/6
79,0.6729845168179391,15,3/17/5
80,0.4071146245059289,15,8/6/11
81,1,15,15/6/4
82,0.5048104131295982,17,6/10/9
83,0.1341396371632765,16,14/8/3
84,0.6050552922590837,16,4/18/3
85,0.3774211400110681,15,14/6/5
86,0.5048104131295982,17,9/6/10
87,0.5048104131295982,17,9/6/10
88,0.7738158594997339,15,17/6/2
89,1,15,6/15/4
90,1,16,15/4/6
91,0.5793606281547954,16,8/12/5
92,0.5805369127516778,15,19/5/1
93,0.9383561643835616,16,5/15/5
94,0.3284834918858422,17,11/10/4
95,0.4071146245059289,15,8/6/11
96,0.6182201158504476,15,18/4/3
97,0.6627318718381113,16,7/12/6
98,0.5765104460756635,16,8/11/6
99,0.5048104131295982,14,9/10/6
100,1,17,6/15/4
101,0.5787256450763559,12,18/3/4
102,1,18,6/15/4
103,0.8784440842787682,14,16/6/3
104,0.3458075407990996,14,9/5/11
105,0.5048104131295982,19,9/10/6
106,1,18,6/4/15
107,0.09301691216584834,15,7/15/3
108,0.26511369938990564,17,12/10/3
109,0.4071146245059289,15,11/8/6
110,0.8784440842787682,17,6/16/3
111,0.20789327404113395,17,4/13/8
112,0.26511369938990564,16,10/3/12
113,0.6627318718381113,17,12/6/7
114,0.35452526374236537,15,11/11/3
115,0.26511369938990564,16,12/10/3
116,0.8754842280022136,18,6/14/5
117,0.5805369127516778,16,19/1/5
118,0.5805369127516778,14,19/1/5
119,0.8784440842787682,15,6/16/3
120,0.8784440842787682,17,16/3/6
121,1,18,15/4/6
122,0.6729845168179391,15,17/5/3
123,0.7627024008933556,14,6/13/6
124,0.5048104131295982,17,10/9/6
125,0.6751488900920413,17,14/10/1
126,0.4482173174872665,16,9/10/6
127,0.24347584675180456,16,11/11/3
128,0.4071146245059289,16,11/6/8
129,1,13,15/6/4
130,0.4071146245059289,16,6/11/8
131,0.8784440842787682,15,16/6/3
132,0.20789327404113395,19,13/8/4
133,1,15,6/15/4
134,0.6757543673901535,16,17/7/1
135,0.8784440842787682,19,6/16/3
136,0.7397223705285638,19,17/5/3
137,0.746125066809193,17,17/4/4
138,0.5048104131295982,14,6/9/10
139,0.35452526374236537,17,11/11/3
140,0.6757543673901535,15,7/17/1
141,0.6862799776910207,14,13/5/7
142,0.1341396371632765,16,14/8/3
143,0.4071146245059289,17,8/6/11
144,0.1341396371632765,12,14/8/3
145,0.5048104131295982,16,9/10/6
146,0.4864940911648846,17,5/11/9
147,1,18,6/4/15
148,0.3458075407990996,16,5/9/11
149,1,17,4/6/15
150,0.3902439024390244,19,7/8/10
151,1,18,6/15/4
152,1,17,15/4/6
153,0.4071146245059289,14,6/11/8
154,1,15,4/6/15
155,1,16,15/4/6
156,0.6182201158504476,15,4/3/18
157,1,16,15/4/6
158,0.8754842280022136,16,14/5/6
159,0.6206174777603349,17,6/18/1
160,0.26511369938990564,17,12/3/10
161,0.746125066809193,15,17/4/4
162,0.6673762639701969,16,17/2/6
163,0.6345425013535464,14,5/16/4
164,0.3284834918858422,19,4/11/10
165,0.4071146245059289,17,6/11/8
166,0.5805369127516778,16,19/1/5
167,0.4071146245059289,16,8/6/11
168,0.4071146245059289,17,6/11/8
169,0.6757543673901535,13,17/7/1
170,1,19,6/15/4
171,0.4482173174872665,16,9/10/6
172,1,20,6/15/4
173,0.6729845168179391,16,3/17/5
174,0.5784964068546158,14,9/3/13
175,0.8784440842787682,17,16/6/3
176,0.8105035192203575,15,16/5/4
177,0.1341396371632765,18,14/8/3
178,0.8784440842787682,19,6/16/3
179,0.8646453708716839,12,4/16/5
180,0.1341396371632765,17,8/14/3
181,0.8784440842787682,16,16/6/3
182,0.5048104131295982,16,9/10/6
183,0.19154228855721392,17,13/9/3
184,0.2870722433460076,15,11/1/13
185,0.5048104131295982,19,10/6/9
186,0.35452526374236537,16,11/11/3
187,0.5048104131295982,13,9/10/6
188,0.1341396371632765,16,3/14/8
189,1,17,15/4/6
190,0.4071146245059289,15,8/11/6
191,0.1341396371632765,16,14/8/3
192,0.8105035192203575,15,5/16/4
193,0.4482173174872665,15,10/9/6
194,0.5048104131295982,17,9/10/6
195,0.8784440842787682,16,16/6/3
196,0.6182201158504476,15,4/18/3
197,0.2601898380792853,17,12/9/4
198,0.4327390599675851,13,16/6/3
199,0.5765104460756635,14,8/6/11
200,0.26511369938990564,17,10/12/3
201,0.4482173174872665,12,9/6/10
202,0.4071146245059289,17,11/8/6
203,1,19,15/4/6
204,0.4071146245059289,14,6/8/11
205,0.4482173174872665,16,6/9/10
206,0.5048104131295982,17,9/6/10
207,1,13,15/6/4
208,0.19154228855721392,15,3/13/9
209,0.5048104131295982,15,9/10/6
210,0.19154228855721392,14,9/13/3
211,0.8567921440261866,13,15/7/3
212,0.6729845168179391,16,17/5/3
213,0.35452526374236537,17,11/11/3
214,1,18,15/6/4
215,0.19154228855721392,14,9/13/3
216,0.4482173174872665,16,10/6/9
217,0.4124230554001119,16,10/4/11
218,0.4084507042253521,17,10/10/5
219,0.19154228855721392,14,13/9/3
220,0.20789327404113395,15,13/4/8
221,0.8784440842787682,17,16/3/6
222,0.19154228855721392,16,9/13/3
223,0.4482173174872665,12,9/6/10
224,0.19154228855721392,15,9/13/3
225,0.8784440842787682,18,16/3/6
226,0.6345425013535464,16,5/4/16
227,0.8317178244480344,18,15/1/9
228,0.6757543673901535,17,17/7/1
229,0.19154228855721392,13,13/9/3
230,0.4071146245059289,14,11/6/8
231,0.1341396371632765,17,14/8/3
232,0.6729845168179391,14,17/3/5
233,0.19154228855721392,15,9/3/13
234,0.20789327404113395,17,13/8/4
235,0.8784440842787682,15,6/16/3
236,0.7703943814154511,14,16/3/6
237,1,15,6/4/15
238,1,13,15/6/4
239,0.20789327404113395,16,8/13/4
240,0.8784440842787682,15,16/6/3
241,0.6757543673901535,16,17/1/7
242,0.8784440842787682,18,6/16/3
243,0.8754842280022136,12,6/5/14
244,1,16,15/6/4
245,0.26511369938990564,16,12/3/10
246,0.6050552922590837,18,4/18/3
247,0.7738158594997339,15,17/6/2
248,0.1341396371632765,14,14/8/3
249,1,15,6/15/4
250,0.5048104131295982,14,6/9/10
251,1,19,15/6/4
252,0.5048104131295982,18,9/10/6
253,0.4071146245059289,17,6/8/11
254,1,15,4/15/6
255,0.5048104131295982,16,10/9/6
