iteration,baseline_cluster,Jaccard
1,1,0.5333333333333333
1,2,0.36363636363636365
1,3,1
2,1,0.9375
2,2,0.75
2,3,1
3,1,1
3,2,0.5714285714285714
3,3,0.5
4,1,1
4,2,1
4,3,1
5,1,0.7894736842105263
5,2,0.21052631578947367
5,3,0.8333333333333334
6,1,0.5333333333333333
6,2,0.3076923076923077
6,3,0.6666666666666666
7,1,0.8333333333333334
7,2,0.75
7,3,0.6666666666666666
8,1,0.8666666666666667
8,2,0.6666666666666666
8,3,1
9,1,0.8823529411764706
9,2,1
9,3,0.6666666666666666
10,1,0.9333333333333333
10,2,0.8
10,3,1
11,1,0.9375
11,2,0.75
11,3,1
12,1,0.6666666666666666
12,2,0.4444444444444444
12,3,1
13,1,0.7894736842105263
13,2,0.75
13,3,0.5
14,1,0.9375
14,2,0.75
14,3,1
15,1,0.9375
15,2,0.75
15,3,1
16,1,1
16,2,0.5714285714285714
16,3,0.5
17,1,0.9375
17,2,0.75
17,3,1
18,1,0.6666666666666666
18,2,0.4444444444444444
18,3,1
19,1,0.9333333333333333
19,2,0.8
19,3,1
20,1,0.5333333333333333
20,2,0.3076923076923077
20,3,0.6666666666666666
21,1,0.8333333333333334
21,2,0.15789473684210525
21,3,0.7142857142857143
22,1,0.6
22,2,0.4
22,3,1
23,1,0.7894736842105263
23,2,0.21052631578947367
23,3,0.8333333333333334
24,1,0.5333333333333333
24,2,0.36363636363636365
24,3,1
25,1,0.7894736842105263
25,2,0.75
25,3,0.5
26,1,0.6666666666666666
26,2,0.4444444444444444
26,3,1
27,1,0.8823529411764706
27,2,1
27,3,0.6666666666666666
28,1,0.5333333333333333
28,2,0.3076923076923077
28,3,0.6666666666666666
29,1,0.9375
29,2,0.75
29,3,1
30,1,1
30,2,1
30,3,1
31,1,0.9375
31,2,0.75
31,3,1
32,1,0.8823529411764706
32,2,0.75
32,3,0.8333333333333334
33,1,0.9375
33,2,0.75
33,3,1
34,1,0.9375
34,2,0.75
34,3,1
35,1,0.8823529411764706
