variable,wavenumber,VIP_comp1,VIP_comp2,VIP_comp3,VIP_max
wn_1021.05,1021.05,1.659089387433707,1.3781470003559049,1.303903822210417,1.659089387433707
wn_1019.12,1019.12,1.6590800119760962,1.3781216265569605,1.3042769719642135,1.6590800119760962
wn_1022.98,1022.98,1.6587950256496269,1.3781802626073147,1.303597851488845,1.6587950256496269
wn_1017.19,1017.19,1.6587814617247594,1.3781254830184233,1.3047426519476073,1.6587814617247594
wn_1015.26,1015.26,1.658211438112623,1.3781740917280465,1.3053188119275332,1.658211438112623
wn_1024.91,1024.91,1.6581917316054886,1.3781991810041876,1.3033322266707197,1.6581917316054886
wn_1013.33,1013.33,1.65737420398791,1.3782703659727977,1.306008624621358,1.65737420398791
wn_1026.84,1026.84,1.6572804319426535,1.37818373018312,1.3030817897161433,1.6572804319426535
wn_1011.4,1011.4,1.6562635373936114,1.378412364943549,1.3068091266061346,1.6562635373936114
wn_1028.77,1028.77,1.6560738271710593,1.378123729419852,1.3028303353517725,1.6560738271710593
wn_1009.47,1009.47,1.6548888930327617,1.378609958071257,1.3077289188818642,1.6548888930327617
wn_1030.7,1030.7,1.6546004472279237,1.3780226497312045,1.3025750700314425,1.6546004472279237
wn_1007.54,1007.54,1.653288727134609,1.3788828867883205,1.3087849180737459,1.653288727134609
wn_1032.63,1032.63,1.652890165187461,1.3778885803072696,1.3023187409899466,1.652890165187461
wn_1005.61,1005.61,1.6515214171574149,1.3792440994652344,1.3099830809802038,1.6515214171574149
wn_1034.56,1034.56,1.650957462103192,1.3777223005181047,1.302057639399066,1.650957462103192
wn_974.73,974.73,1.6500938452693101,1.3865881445957833,1.3318522933359096,1.6500938452693101
wn_972.8,972.8,1.6498866026500636,1.384417172532079,1.3309142925294482,1.6498866026500636
wn_976.66,976.66,1.6497292353239073,1.3881050576712592,1.3322328586020125,1.6497292353239073
wn_1003.68,1003.68,1.6496576224036539,1.3796958940651523,1.311314197189563,1.6496576224036539
wn_970.87,970.87,1.649008156505486,1.381555459995448,1.3293938193769705,1.649008156505486
wn_978.59,978.59,1.6489125986275568,1.3890139892865512,1.3320883286997636,1.6489125986275568
wn_1036.49,1036.49,1.6487986548209428,1.37751439738964,1.301778001918317,1.6487986548209428
wn_1001.75,1001.75,1.6477841079523246,1.380240061900948,1.3127662673447902,1.6477841079523246
wn_980.52,980.52,1.6477743569801802,1.3893688529100086,1.331462074211541,1.6477743569801802
wn_968.94,968.94,1.6473803371397238,1.3779786224482031,1.3272711831040578,1.6473803371397238
wn_982.45,982.45,1.6464538435687657,1.38923583440395,1.3304106542189449,1.6464538435687657
