variable,wavenumber,VIP_comp1,VIP_comp2,VIP_comp3,VIP_max,gap_cm1,vip_region
wn_876.29,876.29,1.0453894245940818,0.8375745343656948,0.8158400801797515,1.0453894245940818,0,0
wn_878.22,878.22,1.1572733319786421,0.9284528961346343,0.8885732975421875,1.1572733319786421,1.9300000000000637,0
wn_880.15,880.15,1.2765578556005526,1.0255062834080109,0.97111275941258,1.2765578556005526,1.92999999999995,0
wn_882.08,882.08,1.391434246690985,1.1190929661455247,1.0554278979496714,1.391434246690985,1.9300000000000637,0
wn_884.01,884.01,1.4895906727393255,1.1991889601983083,1.1320467299265025,1.4895906727393255,1.92999999999995,0
wn_885.94,885.94,1.562470087944187,1.2588299922276995,1.1934033242448217,1.562470087944187,1.9300000000000637,0
wn_887.87,887.87,1.6081685302058488,1.2964487106631792,1.2364658691501829,1.6081685302058488,1.92999999999995,0
wn_889.8,889.8,1.6307846974611497,1.3153402420062519,1.2627915221267425,1.6307846974611497,1.92999999999995,0
wn_891.73,891.73,1.6371577855049935,1.3210224269559718,1.2764406828336692,1.6371577855049935,1.9300000000000637,0
wn_893.66,893.66,1.6338517824438237,1.3187961434723616,1.2817620126514695,1.6338517824438237,1.92999999999995,0
wn_895.59,895.59,1.6258698892669254,1.3127016228968043,1.2822774755460422,1.6258698892669254,1.9300000000000637,0
wn_897.52,897.52,1.6166023138350722,1.3054732030262288,1.280485015992252,1.6166023138350722,1.92999999999995,0
wn_899.45,899.45,1.6081354015711438,1.298789418595089,1.2780054631291462,1.6081354015711438,1.9300000000000637,0
wn_901.38,901.38,1.6015862426275218,1.2935471660092528,1.275793857468853,1.6015862426275218,1.92999999999995,0
wn_903.31,903.31,1.5973907142171961,1.290100290626814,1.2743228982836758,1.5973907142171961,1.92999999999995,0
wn_905.24,905.24,1.595504384818454,1.2884225387267612,1.2737061920554114,1.595504384818454,1.9300000000000637,0
wn_907.17,907.17,1.5955629577091752,1.2882339026413185,1.2738102847627335,1.5955629577091752,1.92999999999995,0
wn_909.1,909.1,1.5970225553256812,1.2891162171580093,1.2743814474332111,1.5970225553256812,1.9300000000000637,0
wn_911.03,911.03,1.599242287630597,1.2905832956917669,1.2751342367117395,1.599242287630597,1.92999999999995,0
wn_912.96,912.96,1.6015532189008026,1.2921339515947696,1.2757955129938203,1.6015532189008026,1.9300000000000637,0
wn_914.89,914.89,1.6033718217101727,1.2933423209397565,1.2761578292292617,1.6033718217101727,1.92999999999995,0
wn_916.83,916.83,1.604311571943577,1.2939494945150198,1.2761322927159984,1.604311571943577,1.9400000000000546,0
wn_918.76,918.76,1.6042441788206194,1.293907218349255,1.2757600222539196,1.6042441788206194,1.92999999999995,0
wn_920.69,920.69,1.6032952865968226,1.2933635582412943,1.2751822417599792,1.6032952865968226,1.9300000000000637,0
wn_922.62,922.62,1.6017588731809798,1.2925886260067065,1.2745810289997739,1.6017588731809798,1.92999999999995,0
wn_924.55,924.55,1.599964864403759,1.2918713671538162,1.2741168832890735,1.599964864403759,1.92999999999995,0
wn_926.48,926.48,1.5981819415713998,1.2914484700614812,1.273900889123766,1.5981819415713998,1.9300000000000637,0
wn_928.41,928.41,1.5964737646545384,1.2913747104987512,1.2739676984430963,1.5964737646545384,1.92999999999995,0
wn_930.34,930.34,1.5949338809226248,1.2917355214289374,1.2743392713951385,1.5949338809226248,1.9300000000000637,0
wn_932.27,932.27,1.593631970142332,1.292582082133323,1.2749991690824813,1.593631970142332,1.92999999999995,0
wn_934.2,934.2,1.5926195953727307,1.2939224288173232,1.2758996525313073,1.5926195953727307,1.9300000000000637,0
wn_936.13,936.13,1.5919030778008936,1.2956952154489172,1.2769648860369511,1.5919030778008936,1.92999999999995,0
wn_938.06,938.06,1.591465265004307,1.2977964619154936,1.2781082611909886,1.591465265004307,1.92999999999995,0
wn_939.99,939.99,1.5913424226283615,1.300161793967574,1.2792820751698728,1.5913424226283615,1.9300000000000637,0
wn_941.92,941.92,1.5916677855601749,1.3028259792150825,1.2805294341346731,1.5916677855601749,1.92999999999995,0
wn_943.85,943.85,1.5926427274307948,1.3059136405937917,1.2819851883988727,1.5926427274307948,1.9300000000000637,0
wn_945.78,945.78,1.5944593163323373,1.309574304887691,1.2838161747202341,1.5944593163323373,1.92999999999995,0
wn_947.71,947.71,1.5972230516584114,1.3139089178756818,1.2861446632104678,1.5972230516584114,1.9300000000000637,0
wn_949.64,949.64,1.6009224784342828,1.3189334513800008,1.2890094108822883,1.6009224784342828,1.92999999999995,0
wn_951.57,951.57,1.6054495892003706,1.3245864335740247,1.292377842672542,1.6054495892003706,1.9300000000000637,0
wn_953.5,953.5,1.6106274420884457,1.3307511187450929,1.2961785237520038,1.6106274420884457,1.92999999999995,0
wn_955.43,955.43,1.6162216071877735,1.3372676064056486,1.3003139838373377,1.6162216071877735,1.92999999999995,0
wn_957.36,957.36,1.6219625237963777,1.3439452210122511,1.304656764164903,1.6219625237963777,1.9300000000000637,0
wn_959.29,959.29,1.627589635472752,1.350590830775424,1.3090614232359479,1.627589635472752,1.92999999999995,0
wn_961.22,961.22,1.6328751902884389,1.3570306332459736,1.3133849598150937,1.6328751902884389,1.9300000000000637,0
wn_963.15,963.15,1.637623748970257,1.3631119385003503,1.3174923768346722,1.637623748970257,1.92999999999995,0
