domain,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
D1,value,1,2,15,4,60,5.159958720330237e-4,7.739938080495355e-4,***
D1,value,1,3,15,6,90,3.685684800235884e-5,1.1057054400707652e-4,***
D1,value,2,3,4,6,20,0.11428571428571428,0.11428571428571428,ns
D2,value,1,2,15,4,54,0.01393188854489164,0.01393188854489164,*
D2,value,1,3,15,6,2,1.4742739200943535e-4,4.422821760283061e-4,***
D2,value,2,3,4,6,0,0.009523809523809525,0.01393188854489164,*
D3,value,1,2,15,4,41,0.30701754385964913,0.30701754385964913,ns
D3,value,1,3,15,6,3,2.5799793601651185e-4,7.739938080495355e-4,***
D3,value,2,3,4,6,0,0.009523809523809525,0.014285714285714287,*
D4,value,1,2,15,4,0,5.159958720330237e-4,0.001547987616099071,**
D4,value,1,3,15,6,62,0.20510835913312694,0.20510835913312694,ns
D4,value,2,3,4,6,24,0.009523809523809525,0.014285714285714287,*
D5,value,1,2,15,4,15,0.152218782249742,0.152218782249742,ns
D5,value,1,3,15,6,9,0.003317116320212295,0.009951348960636885,**
D5,value,2,3,4,6,2,0.0380952380952381,0.05714285714285715,ns
