participant_id,cluster,domain,value
1,1,D1,0.6001929996497759
1,1,D2,-0.5798485667655664
1,1,D3,-0.5290965274136374
1,1,D4,-0.7890190319662563
1,1,D5,-0.23638417623269278
10,1,D1,0.32523577693615396
10,1,D2,-0.8481663788218148
10,1,D3,-0.7415982327961633
10,1,D4,-0.5794813140445322
10,1,D5,0.3481097411617025
11,1,D1,0.6465378238912856
11,1,D2,-0.5332097097706977
11,1,D3,-0.5288214682970922
11,1,D4,-0.8172524823862286
11,1,D5,-0.08396209834410387
12,1,D1,0.4320371020956316
12,1,D2,-0.5087608143651553
12,1,D3,-0.5548603050890432
12,1,D4,-0.8064149689876946
12,1,D5,-0.034097145134439906
13,1,D1,0.5556033339762569
13,1,D2,-0.7352085211991644
13,1,D3,-0.6780632070055818
13,1,D4,-0.614887195011124
13,1,D5,0.026211005703447362
14,1,D1,0.6605742283019279
14,1,D2,-0.5224052322444671
14,1,D3,-0.5380707044270077
14,1,D4,-0.8093381343009212
14,1,D5,0.056459756907011036
15,1,D1,0.31374881453179115
15,1,D2,-0.368757964405177
15,1,D3,-0.3586334649499971
15,1,D4,-0.9432189087511882
15,1,D5,-0.09099108050581615
16,1,D1,0.18679676458677724
16,1,D2,-0.5414562812338228
16,1,D3,-0.6646050510147917
16,1,D4,-0.6955298295350364
16,1,D5,0.3446659596605667
17,1,D1,0.917849336328137
17,1,D2,-0.38400212604699807
17,1,D3,-0.41495348310820845
17,1,D4,-1.0092439047327162
17,1,D5,-0.1526057135894298
18,2,D1,-0.2586399486883419
18,2,D2,-0.7499263881743335
18,2,D3,-0.6322775781538343
18,2,D4,-0.15073069184823476
18,2,D5,0.1697979493107858
19,3,D1,-0.1819467848725722
19,3,D2,-0.3493873199696096
19,3,D3,-0.37195780891804253
19,3,D4,-0.8440622427934249
19,3,D5,0.25268570913242183
2,1,D1,0.3843834206380434
2,1,D2,-0.7632485480695828
2,1,D3,-0.7318839433216517
2,1,D4,-0.6294525489599065
2,1,D5,0.09881141989738713
20,2,D1,0.1553346162744433
20,2,D2,-0.8218925253043425
20,2,D3,-0.6861424718132582
20,2,D4,-0.17949129685994092
20,2,D5,0.24678223704824048
21,3,D1,-0.7399368256948039
21,3,D2,-0.116129792804617
21,3,D3,-0.09327108193609142
21,3,D4,-0.8479838723183771
21,3,D5,0.6136133971907243
22,1,D1,0.41779944592314044
22,1,D2,-0.6727956705906462
22,1,D3,-0.7510088771378528
22,1,D4,-0.6624660447323931
22,1,D5,0.15255374650550607
23,1,D1,0.2760612260651626
23,1,D2,-0.5231907928308038
23,1,D3,-0.4921989895687533
23,1,D4,-0.8677109463358129
23,1,D5,0.2652358766042415
24,2,D1,-0.2710631104355741
24,2,D2,-0.7538530818892507
24,2,D3,-0.5411539643941152
24,2,D4,0.23349347998242628
24,2,D5,0.20355323158646088
25,3,D1,-0.4043715771102579
25,3,D2,-0.32593673007215934
25,3,D3,-0.39791835705051437
25,3,D4,-0.737374188743028
25,3,D5,0.4321969268384727
3,3,D1,-0.5475702676069838
3,3,D2,0.19278996208883736
3,3,D3,1.3014491317001191
3,3,D4,-1.0634951037352036
3,3,D5,0.18105234338979506
4,1,D1,0.6095532699739608
4,1,D2,-0.49002343995557524
4,1,D3,-0.4842539259480021
4,1,D4,-0.8480644709652566
4,1,D5,-0.09087408113375293
5,3,D1,-0.4669872459788727
5,3,D2,-0.16339770024422481
5,3,D3,-0.13292541189184862
5,3,D4,-1.038093509123201
5,3,D5,0.5386777824340409
6,1,D1,0.6296623169173968
6,1,D2,-0.5864235635664946
6,1,D3,-0.5593559240905612
6,1,D4,-0.8650274342161667
6,1,D5,0.09895101101434389
7,3,D1,-0.2307908249861777
7,3,D2,-0.39286306087114925
7,3,D3,-0.39455385681725014
7,3,D4,-0.6979922534102091
7,3,D5,0.29429188428770514
8,1,D1,0.3294998963631985
8,1,D2,-0.6464097871834541
8,1,D3,-0.6404168536220821
8,1,D4,-0.6138960682031354
8,1,D5,0.2452461525505859
9,2,D1,0.18636682388471748
9,2,D2,-0.7743856388888297
9,2,D3,-0.7411499334204944
9,2,D4,-0.40406941765639126
9,2,D5,0.17537503905406207
