cluster,domain,n,mean_value,median_value,sd_value,statistic,p,lower,upper
1,D1,15,0.48570238374524266,0.4320371020956316,0.1942060769604503,17.799999999999997,1.3638892648201164e-4,876,1127
2,D1,4,-0.047000404741188793,-0.05165266620694929,0.2519226844167207,17.799999999999997,1.3638892648201164e-4,876,1127
3,D1,6,-0.428600587708278,-0.4356794115445653,0.20645165002393875,17.799999999999997,1.3638892648201164e-4,876,1127
1,D2,15,-0.580260493136628,-0.5414562812338228,0.1333826519158668,15.733538461538473,3.832706230239253e-4,1150,1313
2,D2,4,-0.7750144085641891,-0.7641193603890402,0.033041205053354075,15.733538461538473,3.832706230239253e-4,1150,1313
3,D2,6,-0.19248744031215376,-0.24466721515819206,0.21803305006321255,15.733538461538473,3.832706230239253e-4,1150,1313
1,D3,15,-0.5778547305193618,-0.5548603050890432,0.11950158550803984,12.59661538461539,0.0018394150007139405,1382,1413
2,D3,4,-0.6501809869454256,-0.6592100249835462,0.08519781161009174,12.59661538461539,0.0018394150007139405,1382,1413
3,D3,6,-0.014862897485604664,-0.25244161040494556,0.6589654686472417,12.59661538461539,0.0018394150007139405,1382,1413
1,D4,15,-0.7700668855418913,-0.8064149689876946,0.1306497132100217,10.937230769230766,0.0042170671334973995,1477,1706
2,D4,4,-0.12519948159553515,-0.16511099435408783,0.26459310007747544,10.937230769230766,0.0042170671334973995,1477,1706
3,D4,6,-0.871500195020574,-0.846023057555901,0.1510073026669365,10.937230769230766,0.0042170671334973995,1477,1706
1,D5,15,0.06315535833763712,0.056459756907011036,0.1815134479384858,9.827384615384616,0.0073453170292637,2942,3092
2,D5,4,0.1988771142498873,0.18946413532026146,0.03518859775427449,9.827384615384616,0.0073453170292637,2942,3092
3,D5,6,0.38541967387886,0.3632444055630889,0.1705503560803061,9.827384615384616,0.0073453170292637,2942,3092
