participant_id,cluster,spearman_rho
1,1,0.9729099546996067
10,1,0.9619997385719813
11,1,0.9929230106997792
12,1,0.9932146145962886
13,1,0.9778608199965099
14,1,0.9971536495053034
15,1,0.9714188716955369
16,1,0.9710951427617407
17,1,0.9671155605210194
18,2,0.8695897947972937
19,3,0.9442380099976004
2,1,0.9725299648390866
20,2,0.9081807237648176
21,3,0.7638290705454269
22,1,0.9738413642076359
23,1,0.9865486092000524
24,2,0.8110842544195148
25,3,0.8865837710760699
3,3,0.6403229810340517
4,1,0.9899756407994423
5,3,0.815702824106012
6,1,0.9959414407013202
7,3,0.9305126299283297
8,1,0.9716183116273962
9,2,0.947424380549871
