domain,strip_1,strip_2,pearson_r,spearman_rho
D1,strip_01,strip_02,0.9999997330593705,0.9998989441359974
D1,strip_01,strip_03,0.9999996686447089,0.9999262565407465
D1,strip_02,strip_03,0.9999997805951948,0.9999508372686279
D1,strip_01,strip_04,0.9999996507433393,0.9999767847133199
D1,strip_02,strip_04,0.9999994970709305,0.999885288273034
D1,strip_03,strip_04,0.9999994892472817,0.9999153318362025
D2,strip_01,strip_02,0.9999915033189359,0.9999267139052469
D2,strip_01,strip_03,0.9999909612726431,0.9999706857100966
D2,strip_02,strip_03,0.999993180835188,0.999921827299097
D2,strip_01,strip_04,0.9999933264724,0.9999413706085755
D2,strip_02,strip_04,0.999989566656166,0.9999462553169981
D2,strip_03,strip_04,0.9999911932105996,0.999941369796966
D3,strip_01,strip_02,0.9999226964503733,0.9985272459499265
D3,strip_01,strip_03,0.9998006105862041,0.9933777523776266
D3,strip_02,strip_03,0.9997890261293031,0.996321093866153
D3,strip_01,strip_04,0.999838347595786,0.9985272459499265
D3,strip_02,strip_04,0.9998368574512703,0.9985272459499265
D3,strip_03,strip_04,0.9997847071244763,0.996321093866153
D4,strip_01,strip_02,0.9999991712244685,0.9999780874814693
D4,strip_01,strip_03,0.9999990267011097,0.9999908698128439
D4,strip_02,strip_03,0.9999991395787193,0.9999872177653236
D4,strip_01,strip_04,0.9999990571219703,0.9999744353939362
D4,strip_02,strip_04,0.9999990527421114,0.9999853917032179
D4,strip_03,strip_04,0.9999991431440874,0.9999799136302703
D5,strip_01,strip_02,0.9999735279235878,0.9998816942263028
D5,strip_01,strip_03,0.9999713586518184,0.9999408467027684
D5,strip_02,strip_03,0.9999715528538282,0.9998488324161564
D5,strip_01,strip_04,0.9999658516283754,0.9998816933839373
D5,strip_02,strip_04,0.9999623266688304,0.9998882674436631
D5,strip_03,strip_04,0.9999767130943255,0.9999605647133056
