reference,cluster,distance,nearest_cluster
etalon,1,2.7882472982904734,1
etalon,2,14.34366859472191,1
etalon,3,15.345405871428612,1
strip_01,1,2.8267037568874773,1
strip_01,2,14.372706448815574,1
strip_01,3,15.376542378767088,1
strip_02,1,2.8422477887483004,1
strip_02,2,14.388031830787654,1
strip_02,3,15.393834712613863,1
strip_03,1,2.7556399917329197,1
strip_03,2,14.31648465295537,1
strip_03,3,15.31660581541365,1
strip_04,1,2.781455031057987,1
strip_04,2,14.332508300295748,1
strip_04,3,15.335656330955484,1
new_four_strip_centroid,1,2.8012765076968216,1
new_four_strip_centroid,2,14.352374432812077,1
new_four_strip_centroid,3,15.355608920731932,1
